circuit;area;power;timing;ssim;compression
trunc1_11_DRUM_5;39.588833;45.098985;14.946846;0.951949;0.519
trunc1_12_DRUM_8;34.621307;39.051054;22.927197;0.985961;0.524
trunc1_12_DRUM_7;36.438217;41.202188;19.774815;0.982259;0.509
trunc1_12_DRUM_6;38.119687;43.374805;19.946373;0.980115;0.512
trunc1_12_DRUM_5;40.635198;46.028724;21.152837;0.951009;0.519
trunc1_13_DRUM_8;35.688954;40.002561;29.479177;0.980724;0.537
trunc1_13_DRUM_7;37.637330;42.475654;27.701988;0.977169;0.539
trunc1_13_DRUM_6;39.043184;44.166969;25.622629;0.973628;0.542
trunc1_14_DRUM_8;36.843661;41.170035;34.523094;0.969156;0.643
trunc1_14_DRUM_7;39.031636;43.805743;33.221235;0.966445;0.650
trunc1_14_DRUM_6;40.388055;45.401168;30.488420;0.963831;0.647
copyA_6_LOBA0_4;89.487230;91.051737;94.459325;0.966176;0.460
copyA_6_LOBA1_4;89.490008;91.049361;94.464399;0.960100;0.458
copyA_6_LOBA2_4;62.123684;66.534070;37.015405;0.951346;0.789
copyA_7_LOBA0_4;89.487230;91.051737;94.459325;0.966176;0.460
copyA_7_LOBA1_4;89.490008;91.049361;94.464399;0.960103;0.457
copyA_7_LOBA2_4;62.805065;67.136303;39.355747;0.951565;0.788
copyA_8_LOBA0_4;89.487230;91.051737;94.459325;0.966176;0.460
copyA_8_LOBA1_4;89.490008;91.049361;94.464399;0.960083;0.458
copyA_8_LOBA2_4;63.960825;68.308045;35.255104;0.951780;0.788
copyA_9_LOBA0_4;89.487230;91.051737;94.459325;0.966176;0.460
copyA_9_LOBA1_4;89.490008;91.049361;94.464399;0.960077;0.457
copyA_9_LOBA2_4;64.737070;69.049845;35.806938;0.951204;0.790
copyA_10_LOBA0_4;89.487230;91.051737;94.459325;0.966187;0.459
copyA_10_LOBA1_4;89.490008;91.049361;94.464399;0.960056;0.457
copyA_10_LOBA2_4;66.556699;70.804470;35.779682;0.950659;0.793
