circuit;area;power;timing;ssim;compression
loa_11_DRUM_5;103383.859;3925.420;49818.762;0.951953;0.519
loa_12_DRUM_8;111994.847;4357.170;48691.805;0.985954;0.507
loa_12_DRUM_7;109057.376;4202.830;50452.527;0.982248;0.509
loa_12_DRUM_6;106269.327;4053.010;50298.223;0.980110;0.512
loa_12_DRUM_5;101968.626;3869.740;50432.727;0.951009;0.520
loa_13_DRUM_8;110403.797;4292.130;48553.168;0.980681;0.542
loa_13_DRUM_7;107095.425;4125.160;49508.156;0.977037;0.544
loa_13_DRUM_6;105001.107;4009.800;49513.727;0.973510;0.546
loa_14_DRUM_8;108898.025;4233.110;48362.973;0.968741;0.635
loa_14_DRUM_7;105356.083;4054.280;49770.293;0.965846;0.643
loa_14_DRUM_6;103326.401;3943.890;52192.898;0.963176;0.643
trunc0_6_DRUM_8;119089.103;4629.660;31000.209;0.986511;0.507
trunc0_6_DRUM_7;115858.293;4454.820;33140.562;0.982752;0.509
trunc0_6_DRUM_6;113117.676;4329.150;33360.164;0.980647;0.511
trunc0_6_DRUM_5;109073.400;4138.180;32818.805;0.953241;0.520
trunc0_7_DRUM_8;117814.149;4578.040;32161.395;0.986519;0.507
trunc0_7_DRUM_7;114299.683;4404.970;33660.883;0.982755;0.509
trunc0_7_DRUM_6;111684.796;4265.830;32576.238;0.981076;0.511
trunc0_7_DRUM_5;107558.289;4081.860;33399.340;0.953240;0.521
trunc0_8_DRUM_8;116299.923;4525.430;30501.934;0.986557;0.507
trunc0_8_DRUM_7;113043.309;4351.230;32249.197;0.982801;0.509
trunc0_8_DRUM_6;110420.214;4218.080;31287.988;0.981052;0.511
trunc0_8_DRUM_5;106068.050;4028.780;31070.137;0.953243;0.521
trunc0_9_DRUM_8;114726.224;4464.350;31658.672;0.986597;0.508
trunc0_9_DRUM_7;111407.677;4285.870;33205.770;0.982992;0.509
trunc0_9_DRUM_6;108558.926;4156.160;32586.812;0.981049;0.512
trunc0_9_DRUM_5;104553.431;3971.680;29976.650;0.952677;0.521
trunc0_10_DRUM_8;113333.256;4411.360;28234.889;0.986505;0.505
trunc0_10_DRUM_7;109976.371;4234.560;29721.105;0.983070;0.507
trunc0_10_DRUM_6;107364.041;4101.370;29388.994;0.981177;0.510
trunc0_10_DRUM_5;103005.635;3905.680;29590.365;0.952517;0.519
trunc0_11_DRUM_8;111736.750;4351.800;28945.385;0.986555;0.504
trunc0_11_DRUM_7;108250.644;4173.070;29456.186;0.982852;0.505
trunc0_11_DRUM_6;105866.674;4046.660;29474.248;0.981151;0.509
trunc0_11_DRUM_5;101492.589;3852.930;28412.465;0.952190;0.516
trunc0_12_DRUM_8;109913.752;4279.480;26894.857;0.985910;0.508
trunc0_12_DRUM_7;106757.308;4119.450;27518.160;0.982214;0.509
trunc0_12_DRUM_6;103952.695;3971.580;29052.809;0.980093;0.512
trunc0_12_DRUM_5;99663.397;3783.490;27814.137;0.950985;0.519
trunc0_13_DRUM_8;107927.273;4196.550;25957.043;0.980168;0.538
trunc0_13_DRUM_7;104544.633;4028.100;27234.928;0.976994;0.540
trunc0_13_DRUM_6;102347.293;3910.280;26582.920;0.973468;0.543
trunc0_14_DRUM_8;106003.857;4127.760;22529.312;0.965961;0.649
trunc0_14_DRUM_7;102443.041;3945.330;24304.316;0.961262;0.651
